Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Sisto Averno,/A/AverSi20.htm,LB-MG-G,0,5,1954,False,0,0,0,0,0
Ed Bagdon,/B/BagdEd20.htm,G-MG-LB,0,3,1952,False,0,0,0,0,0
Marion Campbell,/C/CampMa01.htm,DE-DT-MG-G-T,0,8,1961,False,0,2,0,0,0
Al Carapella,/C/CaraAl00.htm,DT-MG-T-LB,0,5,1955,False,0,1,0,0,0
Herman Clark,/C/ClarHe20.htm,G-MG-LB,0,6,1957,False,0,0,0,0,0
Frank Dempsey,/D/DempFr20.htm,LB-MG-G-T,0,4,1953,False,0,0,0,0,0
Dale Dodrill,/D/DodrDa00.htm,MG-LB,0,9,1959,False,0,4,1,0,0
Bill Forester,/F/ForeBi00.htm,LB-MG-DT,0,11,1963,False,0,4,3,0,0
Bob Gain,/G/GainBo00.htm,DT-DE-MG-T,0,13,1964,False,0,5,0,0,0
Bill George,/G/GeorBi00.htm,LB-G-MG-DT,1,15,1966,False,0,8,8,0,0
Mario Giannelli,/G/GianMa20.htm,MG-G,0,4,1951,False,0,0,0,0,0
Visco Grgich,/G/GrgiVi00.htm,G-MG-T-LB,0,7,1952,False,0,1,0,0,0
Jerry Groom,/G/GrooJe00.htm,MG-DT-C-LB,0,5,1955,False,0,1,0,0,0
Mike Jarmoluk,/J/JarmMi00.htm,DT-T-MG,0,10,1955,False,0,1,0,0,0
Bucko Kilroy,/K/KilrBu00.htm,G-MG-T-DT,0,13,1955,False,0,3,0,0,0
Art Michalik,/M/MichAr00.htm,MG-LB-G,0,4,1956,False,0,1,0,0,0
Bob Momsen,/M/MomsBo20.htm,MG-G-LB,0,2,1952,False,0,0,0,0,0
Ed Neal,/N/NealEd00.htm,MG-C-G-T,0,7,1951,False,0,1,0,0,0
George Nicksich,/N/NickGe20.htm,MG-LB-G,0,1,1950,False,0,0,0,0,0
Tony Pasquesi,/P/PasqTo20.htm,DT-MG-LB,0,3,1957,False,0,0,0,0,0
Don Paul,/P/PaulDo00.htm,LB-MG-C,0,8,1955,False,0,3,1,0,0
Ed Quirk,/Q/QuirEd20.htm,FB-MG-LB,0,4,1951,False,0,0,0,0,0
Jim Ricca,/R/RiccJi20.htm,MG-T-G-DT,0,6,1956,False,0,0,0,0,0
Les Richter,/R/RichLe00.htm,LB-MG,1,9,1962,False,0,8,1,0,0
John Schweder,/S/SchwJo20.htm,G-MG-LB,0,6,1955,False,0,0,0,0,0
